title,company,salary_from,salary_to,salary_currency,schedule,experience,published_at,url,page,scrape_ts
Data Scientist NLP (портал gosuslugi.ru),РТЛабс,,,,Полный день,От 3 до 6 лет,2025-04-09T15:38:02+0300,https://hh.ru/vacancy/115401050,2,2025-04-27T14:09:18
Senior Data Scientist,МегаФон,,,,Удаленная работа,От 3 до 6 лет,2025-04-07T16:44:41+0300,https://hh.ru/vacancy/119246695,3,2025-04-27T14:09:20
Data Scientist/ ML Engineer на Интеллектуальную платформу коммуникации,X5 Tech,,,,Полный день,От 3 до 6 лет,2025-04-12T08:43:30+0300,https://hh.ru/vacancy/118276459,3,2025-04-27T14:09:20
Data Scientist (Гео и Графы),СБЕР,,,,Полный день,От 3 до 6 лет,2025-04-07T13:23:00+0300,https://hh.ru/vacancy/119232367,3,2025-04-27T14:09:20
Data Scientist в команду RecSys (middle),Литрес,,,,Удаленная работа,От 1 года до 3 лет,2025-04-01T10:31:59+0300,https://hh.ru/vacancy/118008212,3,2025-04-27T14:09:20
Data Scientist (LLM),МегаФон,,,,Удаленная работа,От 3 до 6 лет,2025-04-03T16:29:18+0300,https://hh.ru/vacancy/119130980,3,2025-04-27T14:09:20
Data Scientist,СБЕР,,,,Полный день,От 3 до 6 лет,2025-04-07T18:38:00+0300,https://hh.ru/vacancy/108137544,3,2025-04-27T14:09:20
Data Scientist,СБЕР,,,,Полный день,От 3 до 6 лет,2025-04-03T14:51:01+0300,https://hh.ru/vacancy/119124696,3,2025-04-27T14:09:20
"Старший Data Scientist, Факторы ранжирования",Ozon,,,,Полный день,От 3 до 6 лет,2025-04-09T13:24:39+0300,https://hh.ru/vacancy/112852766,3,2025-04-27T14:09:20
Data Scientist в команду рисков,Газпромбанк,,,,Удаленная работа,От 3 до 6 лет,2025-03-28T17:39:33+0300,https://hh.ru/vacancy/118914978,3,2025-04-27T14:09:20
Data Scientist/ML Engineer (NLP),X5 Digital,,,,Удаленная работа,От 3 до 6 лет,2025-04-01T16:46:16+0300,https://hh.ru/vacancy/117524001,3,2025-04-27T14:09:20
Data Scientist,IEK GROUP,,,,Удаленная работа,От 3 до 6 лет,2025-04-04T17:03:21+0300,https://hh.ru/vacancy/118344620,3,2025-04-27T14:09:20
Data Scientist NLP (senior),СБЕР,,,,Полный день,От 3 до 6 лет,2025-04-07T18:37:00+0300,https://hh.ru/vacancy/115553042,3,2025-04-27T14:09:20
Senior Data Scientist (CV),Страховая компания Сбербанк страхование,,,,Полный день,От 3 до 6 лет,2025-04-08T18:36:05+0300,https://hh.ru/vacancy/118431799,3,2025-04-27T14:09:20
ML Data Scientist (Senior),"РУСАЛ, Центр подбора персонала",,,,Полный день,От 3 до 6 лет,2025-04-07T12:05:45+0300,https://hh.ru/vacancy/119225700,3,2025-04-27T14:09:20
Lead Data Scientist,ЭР-Телеком,,,,Полный день,От 3 до 6 лет,2025-04-03T14:13:46+0300,https://hh.ru/vacancy/118001535,3,2025-04-27T14:09:20
Team Lead Data Scientist,СБЕР,,,,Полный день,От 3 до 6 лет,2025-04-08T13:31:00+0300,https://hh.ru/vacancy/119284524,3,2025-04-27T14:09:20
"NLP, LLM Data Scientist (блок ""Стратегия и развитие"")",СБЕР,,,,Полный день,От 1 года до 3 лет,2025-03-31T22:04:41+0300,https://hh.ru/vacancy/118992608,3,2025-04-27T14:09:20
Senior Marketing Analyst / Data Scientist,Издаем Игры,,,,Удаленная работа,От 3 до 6 лет,2025-03-28T17:49:23+0300,https://hh.ru/vacancy/118915269,3,2025-04-27T14:09:20
Middle/Senior Data Scientist / ML Engineer в команду Прогноза промо-продаж,X5 Tech,,,,Полный день,От 3 до 6 лет,2025-04-07T15:47:43+0300,https://hh.ru/vacancy/109711513,3,2025-04-27T14:09:20
Data Scientist (NLP),Ингосстрах,,,,Удаленная работа,От 3 до 6 лет,2025-04-03T12:06:39+0300,https://hh.ru/vacancy/118084439,3,2025-04-27T14:09:20
Data Scientist LLM (Global markets),СБЕР,,,,Полный день,От 3 до 6 лет,2025-04-03T17:24:00+0300,https://hh.ru/vacancy/119133450,3,2025-04-27T14:09:20
Data Scientist,СБЕР,,,,Полный день,От 3 до 6 лет,2025-03-31T19:17:00+0300,https://hh.ru/vacancy/118991461,3,2025-04-27T14:09:20
Data Scientist в антифрод Рекламы,Яндекс,,,,Полный день,От 3 до 6 лет,2025-03-31T15:43:26+0300,https://hh.ru/vacancy/118982720,3,2025-04-27T14:09:20
Senior Data Scientist (RL),Ecom.tech,,,,Удаленная работа,От 3 до 6 лет,2025-04-01T17:04:13+0300,https://hh.ru/vacancy/119038333,3,2025-04-27T14:09:20
"Старший Data Scientist, Отбор кандидатов",Ozon,,,,Удаленная работа,От 3 до 6 лет,2025-04-01T18:03:37+0300,https://hh.ru/vacancy/119040840,3,2025-04-27T14:09:20
Data Scientist CV,СБЕР,,,,Полный день,Более 6 лет,2025-04-03T15:55:00+0300,https://hh.ru/vacancy/119128854,3,2025-04-27T14:09:20
"NLP Engineer / NLP Data Scientist (LLM, GigaChat)",СБЕР,,,,Полный день,От 1 года до 3 лет,2025-04-01T12:54:40+0300,https://hh.ru/vacancy/119021791,3,2025-04-27T14:09:20
Data scientist (Senior),СБЕР,,,,Полный день,От 3 до 6 лет,2025-04-01T12:57:18+0300,https://hh.ru/vacancy/119021975,3,2025-04-27T14:09:20
Data Scientist CV,СБЕР,,,,Полный день,Более 6 лет,2025-04-01T14:28:00+0300,https://hh.ru/vacancy/119028264,3,2025-04-27T14:09:20
"Старший Data Scientist, Построение запросов",Ozon,,,,Удаленная работа,От 3 до 6 лет,2025-03-28T18:20:15+0300,https://hh.ru/vacancy/118916097,3,2025-04-27T14:09:20
Lead Data Scientist,Эр-1,,,,Полный день,От 3 до 6 лет,2025-04-01T15:36:50+0300,https://hh.ru/vacancy/117912295,3,2025-04-27T14:09:20
Senior Data Scientist NLP,Navio (ООО Автотех),,,,Полный день,От 3 до 6 лет,2025-04-02T17:43:33+0300,https://hh.ru/vacancy/115937465,3,2025-04-27T14:09:20
Senior Data Scientist,СК Сбербанк страхование жизни,,,,Полный день,От 3 до 6 лет,2025-04-01T13:21:22+0300,https://hh.ru/vacancy/118155129,3,2025-04-27T14:09:20
Senior Data Scientist (Цифровой двойник КИБ),СБЕР,,,,Полный день,От 3 до 6 лет,2025-03-28T17:26:00+0300,https://hh.ru/vacancy/116768763,3,2025-04-27T14:09:20
Senior Data Scientist (Computer Vision в RnD),СБЕР,,,,Полный день,Более 6 лет,2025-03-31T09:22:01+0300,https://hh.ru/vacancy/118954016,3,2025-04-27T14:09:20
Data Scientist (Advertising Platform),Lamoda Tech,,,,Полный день,От 3 до 6 лет,2025-03-28T16:54:08+0300,https://hh.ru/vacancy/118913310,3,2025-04-27T14:09:20
Senior ML Engineer / Data scientist (Ведущий ML-инженер),Инфосистемы Джет,,,,Удаленная работа,От 3 до 6 лет,2025-04-25T13:18:55+0300,https://hh.ru/vacancy/119377776,3,2025-04-27T14:09:20
Data analyst / Аналитик данных,ЕВРОПЕЙСКИЙ МЕДИЦИНСКИЙ ЦЕНТР,,,,Полный день,От 1 года до 3 лет,2025-04-27T13:28:28+0300,https://hh.ru/vacancy/118901808,3,2025-04-27T14:09:20
Middle/Senior Data Scientist (Reinforcement Learning в играх),Бизнес Успех,,,,Удаленная работа,От 3 до 6 лет,2025-04-22T13:43:08+0300,https://hh.ru/vacancy/118198264,3,2025-04-27T14:09:20
"Senior Data Scientist в команду ""Разработка AI-решений БСР""",СБЕР,,,,Удаленная работа,От 3 до 6 лет,2025-04-16T20:01:03+0300,https://hh.ru/vacancy/119609626,3,2025-04-27T14:09:20
Data Scientist NLP (Центр модельных рисков розничного бизнеса),СБЕР,,,,Полный день,От 1 года до 3 лет,2025-04-15T15:47:00+0300,https://hh.ru/vacancy/119554268,3,2025-04-27T14:09:20
Senior/Team Lead Data Scientist,РТ-Информационная безопасность,,,,Полный день,От 3 до 6 лет,2025-04-14T14:04:58+0300,https://hh.ru/vacancy/119498854,3,2025-04-27T14:09:20
Руководитель отдела рисков Senior Data scientist,МКК Займ-Экспресс,,,,Полный день,От 3 до 6 лет,2025-04-10T11:45:30+0300,https://hh.ru/vacancy/118344285,3,2025-04-27T14:09:20
Senior Data Scientist (NLP ML Autotasking),АВИТО ТЕХ,,,,Удаленная работа,От 3 до 6 лет,2025-04-08T11:53:58+0300,https://hh.ru/vacancy/119277888,3,2025-04-27T14:09:20
ML engineer,СберПраво,,,,Полный день,От 3 до 6 лет,2025-04-09T13:53:56+0300,https://hh.ru/vacancy/117349363,3,2025-04-27T14:09:20
Руководитель Центра знаний (Team Lead Data Scientist),Компания БКС,,,,Полный день,Более 6 лет,2025-04-07T10:21:28+0300,https://hh.ru/vacancy/118618735,3,2025-04-27T14:09:20
Team Lead Data Scientist (Залоговая экспертиза),СБЕР,,,,Полный день,От 3 до 6 лет,2025-04-02T13:09:00+0300,https://hh.ru/vacancy/119071282,3,2025-04-27T14:09:20
Senior Data Scientist NLP | RND TeamLead в LegaTech,СБЕР,,,,Полный день,От 3 до 6 лет,2025-04-01T11:45:04+0300,https://hh.ru/vacancy/119016518,3,2025-04-27T14:09:20
Senior Data Scientist NLP в команду клиентского сервиса,Газпромбанк,,,,Полный день,От 3 до 6 лет,2025-03-28T17:39:53+0300,https://hh.ru/vacancy/118914987,3,2025-04-27T14:09:20
Data scientist ML,Ростелеком,,,,Удаленная работа,От 1 года до 3 лет,2025-04-24T13:25:51+0300,https://hh.ru/vacancy/119908809,3,2025-04-27T14:09:20
Data Scientist / Machine Learning Engineer / Аналитик данных,Транснефть-Технологии,,,,Полный день,От 1 года до 3 лет,2025-04-24T17:08:02+0300,https://hh.ru/vacancy/119928224,4,2025-04-27T14:09:22
Data Scientist (Middle+/Senior),СберМедИИ,,,,Удаленная работа,От 3 до 6 лет,2025-04-26T09:58:23+0300,https://hh.ru/vacancy/119624423,4,2025-04-27T14:09:22
Senior Data Scientist,Pre-Interviews,4000,,USD,Удаленная работа,От 3 до 6 лет,2025-04-26T16:45:29+0300,https://hh.ru/vacancy/119509944,4,2025-04-27T14:09:22
ML разработчик/Data scientist,Аналитический центр при Правительстве Российской Федерации,,,,Полный день,От 1 года до 3 лет,2025-04-18T20:22:11+0300,https://hh.ru/vacancy/119710027,4,2025-04-27T14:09:22
ML/Data Scientist (Junior+/Middle),Ростелеком - Центры обработки данных,,,,Полный день,От 1 года до 3 лет,2025-04-18T12:29:19+0300,https://hh.ru/vacancy/118572829,4,2025-04-27T14:09:22
Junior Data Scientist,Центральный банк Российской Федерации (Банк России),,,,Полный день,Нет опыта,2025-04-17T11:53:37+0300,https://hh.ru/vacancy/119635537,4,2025-04-27T14:09:22
Data Scientist,YADRO,,,,Удаленная работа,От 3 до 6 лет,2025-04-20T15:11:18+0300,https://hh.ru/vacancy/117483603,4,2025-04-27T14:09:22
Middle Data Scientist (Прогноз заказов и оптимизация),"Лента, федеральная розничная сеть",,,,Удаленная работа,От 1 года до 3 лет,2025-04-18T16:41:07+0300,https://hh.ru/vacancy/119705577,4,2025-04-27T14:09:22
Data Scientist,Data-Driven Lab,,,,Удаленная работа,От 1 года до 3 лет,2025-04-14T17:01:46+0300,https://hh.ru/vacancy/117232071,4,2025-04-27T14:09:22
"Data Scientist, Оптимизация коммуникаций",Ozon,,,,Удаленная работа,От 1 года до 3 лет,2025-04-13T12:18:13+0300,https://hh.ru/vacancy/115399559,4,2025-04-27T14:09:22
"Data Scientist (NLP), middle",Литрес,,,,Удаленная работа,От 1 года до 3 лет,2025-04-11T14:01:57+0300,https://hh.ru/vacancy/119432863,4,2025-04-27T14:09:22
Middle Data Scientist,Комус,,,,Удаленная работа,От 1 года до 3 лет,2025-04-07T10:44:09+0300,https://hh.ru/vacancy/119216199,4,2025-04-27T14:09:22
Data Analyst,Data-Driven Lab,,,,Удаленная работа,От 3 до 6 лет,2025-04-14T17:04:40+0300,https://hh.ru/vacancy/117232191,4,2025-04-27T14:09:22
Data Scientist (Риск-моделирование),Octasoft,,,,Удаленная работа,От 3 до 6 лет,2025-04-08T15:01:05+0300,https://hh.ru/vacancy/119290200,4,2025-04-27T14:09:22
Data Scientist,RDP.RU,,,,Удаленная работа,От 3 до 6 лет,2025-04-02T21:49:31+0300,https://hh.ru/vacancy/118894383,4,2025-04-27T14:09:22
Data Scientist NLP,СберПраво,,,,Полный день,От 1 года до 3 лет,2025-04-09T13:53:56+0300,https://hh.ru/vacancy/118982234,4,2025-04-27T14:09:22
"Data Scientist (Deep Learning), Рекомендации и персонализация",Ozon,,,,Удаленная работа,От 3 до 6 лет,2025-03-29T14:30:17+0300,https://hh.ru/vacancy/116457750,4,2025-04-27T14:09:22
Аналитик данных,Раппорто,,,,Удаленная работа,От 3 до 6 лет,2025-04-24T14:32:25+0300,https://hh.ru/vacancy/119912564,4,2025-04-27T14:09:22
Аналитик данных,Youstars,150000,,RUR,Полный день,От 1 года до 3 лет,2025-04-24T15:13:51+0300,https://hh.ru/vacancy/118980717,4,2025-04-27T14:09:22
Python-разработчик в Data team,Туту,,,,Полный день,От 3 до 6 лет,2025-04-26T16:23:01+0300,https://hh.ru/vacancy/119083819,4,2025-04-27T14:09:22
Strong Senior Python Engineer,Betby,5000,,EUR,Удаленная работа,Более 6 лет,2025-04-25T14:36:41+0300,https://hh.ru/vacancy/119825861,4,2025-04-27T14:09:22
Technical Solutions Engineer,Selecty,,,,Удаленная работа,От 3 до 6 лет,2025-04-26T16:43:27+0300,https://hh.ru/vacancy/119878955,4,2025-04-27T14:09:22
Дата-сайентист в маркетинг,2ГИС,,,,Полный день,От 3 до 6 лет,2025-04-25T04:20:24+0300,https://hh.ru/vacancy/118842116,4,2025-04-27T14:09:22
Проджект-менеджер / Системный-аналитик в ИТ-продукт,БСТ Менеджмент-Консалтинг,40000,,RUR,Удаленная работа,Нет опыта,2025-04-24T16:31:09+0300,https://hh.ru/vacancy/118985561,4,2025-04-27T14:09:22
Аналитик перфоманс-маркетинга,Точка,,,,Удаленная работа,От 3 до 6 лет,2025-04-24T14:19:18+0300,https://hh.ru/vacancy/119911892,4,2025-04-27T14:09:22
Бизнес аналитик,Ультиматек,,,,Удаленная работа,От 3 до 6 лет,2025-04-24T12:44:24+0300,https://hh.ru/vacancy/119906328,4,2025-04-27T14:09:22
Бизнес-аналитик (b2b),СБЕР,,,,Полный день,От 3 до 6 лет,2025-04-25T12:01:07+0300,https://hh.ru/vacancy/119954907,4,2025-04-27T14:09:22
Биоинформатик (тематика - онкология),ФГБУ ЦСП ФМБА России,,,,Полный день,От 3 до 6 лет,2025-04-23T14:32:50+0300,https://hh.ru/vacancy/119871389,4,2025-04-27T14:09:22
Директор департамента Информационных Технологий,Ритейл Эксперт,500000,,RUR,Полный день,Более 6 лет,2025-04-24T09:22:45+0300,https://hh.ru/vacancy/119892956,4,2025-04-27T14:09:22
Data Scientist в команду риск - моделирования для сегментов корпоративного и/или малого бизнеса,Банк ВТБ (ПАО),,,,Полный день,От 1 года до 3 лет,2025-04-23T01:32:05+0300,https://hh.ru/vacancy/117355090,4,2025-04-27T14:09:22
Team Lead (Домен ИИ модельные сервисы),Т1,,,,Полный день,От 3 до 6 лет,2025-04-23T11:42:53+0300,https://hh.ru/vacancy/118705524,4,2025-04-27T14:09:22
Data scientist (Валидатор моделей банковской и торговой книг),СБЕР,,,,Полный день,От 1 года до 3 лет,2025-04-21T17:46:00+0300,https://hh.ru/vacancy/119786447,4,2025-04-27T14:09:22
Ассистент стоматолога-ортопеда (м. Проспект Мира),ЕВРОПЕЙСКИЙ МЕДИЦИНСКИЙ ЦЕНТР,,125000,RUR,Полный день,От 1 года до 3 лет,2025-04-22T18:00:47+0300,https://hh.ru/vacancy/119837730,4,2025-04-27T14:09:22
Ведущий Data Scientist (BI-аналитик),Мособлгаз,150000,,RUR,Полный день,От 1 года до 3 лет,2025-04-21T10:39:58+0300,https://hh.ru/vacancy/118266231,4,2025-04-27T14:09:22
Senior ML-инженер (Recommendation Systems),WILDBERRIES,,,,Удаленная работа,От 3 до 6 лет,2025-04-19T14:14:30+0300,https://hh.ru/vacancy/118605376,4,2025-04-27T14:09:22
Руководитель проектов (Генеративный ИИ),Nordgold,,,,Полный день,Более 6 лет,2025-04-19T17:44:44+0300,https://hh.ru/vacancy/119722954,4,2025-04-27T14:09:22
Senior HCP Lead / Senior Product Manager,Bayer,,,,Полный день,Более 6 лет,2025-04-18T15:35:11+0300,https://hh.ru/vacancy/118619535,4,2025-04-27T14:09:22
"Старший разработчик Java, Java-платформа",Ozon,,,,Удаленная работа,От 3 до 6 лет,2025-04-18T12:09:22+0300,https://hh.ru/vacancy/106978588,4,2025-04-27T14:09:22
Владелец продукта (команда кредитное решение),СБЕР,,,,Полный день,От 3 до 6 лет,2025-04-17T16:41:00+0300,https://hh.ru/vacancy/119652400,4,2025-04-27T14:09:22
DS / ML Инженер,СБЕР,,,,Полный день,От 3 до 6 лет,2025-04-16T16:34:00+0300,https://hh.ru/vacancy/119602072,4,2025-04-27T14:09:22
"Автор на курс ""Специалист по Data Science""",Яндекс Практикум,,,,Гибкий график,От 3 до 6 лет,2025-04-16T10:13:10+0300,https://hh.ru/vacancy/118562501,4,2025-04-27T14:09:22
Product Owner (Liquidity Manager),DatsTeam,,,,Удаленная работа,Более 6 лет,2025-04-16T17:34:18+0300,https://hh.ru/vacancy/116172650,4,2025-04-27T14:09:22
Data Engineer,МосТрансПроект,,,,Полный день,От 1 года до 3 лет,2025-04-15T10:54:44+0300,https://hh.ru/vacancy/119534695,4,2025-04-27T14:09:22
Специалист по модификации и сопровождению (SAP),Полюс,,,,Удаленная работа,От 3 до 6 лет,2025-04-16T11:57:25+0300,https://hh.ru/vacancy/119584383,4,2025-04-27T14:09:22
ML-инженер (портал Рамблер),Rambler&Co,,,,Полный день,От 3 до 6 лет,2025-04-15T15:32:18+0300,https://hh.ru/vacancy/119553456,4,2025-04-27T14:09:22
Head of Analytics / Руководитель отдела аналитики,нетмонет,,,,Полный день,От 3 до 6 лет,2025-04-15T13:43:32+0300,https://hh.ru/vacancy/119546574,4,2025-04-27T14:09:22
Системный аналитик,СБЕР,,,,Полный день,От 1 года до 3 лет,2025-04-15T13:48:00+0300,https://hh.ru/vacancy/119546848,4,2025-04-27T14:09:22
Data Scientist (Валидация моделей кредитного риска КИБ),СБЕР,,,,Полный день,От 1 года до 3 лет,2025-04-14T14:57:00+0300,https://hh.ru/vacancy/119502551,4,2025-04-27T14:09:22
Ai-agent engineer (прототипирование AI-агентов),СБЕР,,,,Полный день,От 1 года до 3 лет,2025-04-14T18:46:00+0300,https://hh.ru/vacancy/119514666,4,2025-04-27T14:09:22
Project manager по СХ стратегии,Альфа-Банк,,,,Полный день,От 1 года до 3 лет,2025-04-15T12:00:45+0300,https://hh.ru/vacancy/119539556,4,2025-04-27T14:09:22
